name,Description,Category,image_url
Yoga Mat,High-quality yoga mat for comfortable workouts and stretching,Exercise,https://thumbs.dreamstime.com/b/wooman-yoga-mat-exercise-41351321.jpg
Bluetooth Speaker,Portable speaker with deep bass and long battery life,Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsBXKEPX0-sh4kvonG4pkyeH9glLYudKuW5Q&s
Guitar,Acoustic guitar with rich sound and smooth finish,Music,https://media.istockphoto.com/id/156547833/photo/acoustic-guitar.jpg?s=612x612&w=0&k=20&c=41dpTbgbk7Zp9EZ9W_llfbbXZDG3Ut1S9iuVSrmwGI4=
Wireless Earbuds,Noise-canceling wireless earbuds with touch control,Electronics,https://www.leafstudios.in/cdn/shop/files/1_6b54ff34-acdd-40e6-a08a-f2bfa33a1c7a_800x.png?v=1718706988
Sketchbook,Premium sketchbook with high-quality pages for artists,Art Supplies,https://media.istockphoto.com/id/1576544282/photo/vertical-style-blank-sketchbook-on-wooden-table-with-crayons.jpg?s=612x612&w=0&k=20&c=lJDv1HVmgjB6Dkfv85DR6JzZss4Oe3Nf-aQ586Uu2A0=
Tennis Racket,Durable and lightweight tennis racket with ergonomic grip,Sports,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3Pp_qeA1zGEA0l4xTqIWz7KvBJNb26Ket_Q&s
Headphones,Over-ear headphones with superior sound quality,Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmPXfeDt5hJmrEqteqyEK7xxJLaBb9CvmoHg&s
Smartphone,Latest smartphone with a high-resolution camera and large screen,Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtNjb3cAGuOm8nN0Iopqcehh8ZG2F7PwSlhg&s
Camera,DSLR camera for professional photography with advanced features,Electronics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfxPedWjxkXJc2auRUiKEWahf_7ONYV_JkFQ&s
Painting Set,Complete painting set for beginners with brushes and colors,Art Supplies,https://m.media-amazon.com/images/I/71IQDpuHv1L.jpg
Dumbbells,Set of dumbbells for strength training and muscle building,Exercise,https://media.istockphoto.com/id/503467544/photo/barbell.jpg?s=612x612&w=0&k=20&c=3djgL5iO3fvxMv2w68S5eBnQXcpq8wqwmFOyhnPThUg=
Soccer Ball,High-quality soccer ball for outdoor play and practice,Sports,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbaChj41PLrHMrvbB10a99wKTocoEyHpuKUg&s
Water Bottle,Insulated water bottle to keep drinks hot or cold,Exercise,https://t3.ftcdn.net/jpg/07/86/76/06/360_F_786760607_IwcScz3k7Efj42i1S7mnewhWQXrhAa0o.jpg
Backpack,Durable backpack for school and outdoor activities,Accessories,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr-h3igJxJ51gLEXawWYKLnTGdslgNut8r1g&s
Smartwatch,"Smartwatch with fitness tracking, heart rate monitor, and GPS",Electronics,https://rukminim2.flixcart.com/image/850/1000/xif0q/shopsy-smartwatch/p/b/6/1-44-android-ios-t500-smart-watch-with-bluetooth-calling-black-original-imagvy24hyyqbzvm.jpeg?q=90&crop=false
Sunglasses,Stylish sunglasses for sunny days and outdoor activities,Accessories,https://t4.ftcdn.net/jpg/01/87/04/71/360_F_187047193_dxNXJyc8Mm4z6g6ud8PgbX29zy0FUwYy.jpg
Running Shoes,Comfortable and breathable shoes for running and sports,Exercise,"https://static.nike.com/a/images/f_auto/dpr_3.0,cs_srgb/h_363,c_limit/fc72f7ba-cf37-4c67-9354-58a4d9891430/how-to-choose-running-shoes.jpg"
Laptop,"High-performance laptop for work, gaming, and entertainment",Electronics,https://img.freepik.com/free-vector/laptop-realistic_78370-511.jpg?semt=ais_hybrid&w=740
Guitar Pick,Pack of durable guitar picks for musicians,Music,https://m.media-amazon.com/images/I/61NhVtHft6L.jpg
